from,to,cost
317842,318711,0.872
318721,315955,1.322
315927,318236,1.222
318711,318721,0.233
315969,315927,0.256
312346,312326,0.255
312343,312439,0.283
317852,312346,3.208
316174,317852,0.557
316085,316174,1.369
315982,316085,1.095
316001,315982,0.17
316009,316018,0.782
316009,316019,0.782
316032,316001,1.493
316018,316045,0.795
316019,316045,0.795
313487,316032,1.195
317064,316032,1.195
316045,316063,1.275
316045,316064,1.275
314165,313487,1.749
314165,317064,1.749
315880,313487,1.749
315880,317064,1.749
316063,316387,2.373
316063,316388,2.373
316064,316387,2.373
316064,316388,2.373
314491,314165,2.439
314491,315880,2.439
315882,314165,2.439
315882,315880,2.439
316387,316328,1.687
316387,317168,1.687
316388,316328,1.687
316388,317168,1.687
314485,314491,0.221
314485,315882,0.221
315883,314491,0.221
315883,315882,0.221
316328,316314,0.294
316328,317171,0.294
317168,316314,0.294
317168,317171,0.294
314433,314485,2.939
314433,315883,2.939
315886,314485,2.939
315886,315883,2.939
316314,314460,2.861
316314,315866,2.861
317171,314460,2.861
317171,315866,2.861
314460,314446,0.259
314460,315867,0.259
315866,314446,0.259
315866,315867,0.259
314419,314433,0.249
314419,315886,0.249
315887,314433,0.249
315887,315886,0.249
313438,314419,3.248
313438,315887,3.248
315891,314419,3.248
315891,315887,3.248
313450,313438,0.313
313450,315891,0.313
315892,313438,0.313
315892,315891,0.313
314446,318665,5.476
314446,318666,5.476
315867,318665,5.476
315867,318666,5.476
313493,313450,2.467
313493,315892,2.467
318665,316414,0.571
318666,316414,0.571
313512,313493,0.205
316414,318620,0.569
318611,313512,0.483
318612,313512,0.483
316438,318611,1.93
316438,318612,1.93
318656,318611,1.93
318656,318612,1.93
318620,318649,2.358
318620,318650,2.358
316451,316438,0.212
316451,318656,0.212
318636,316438,0.212
318636,318656,0.212
318815,316451,1.467
318815,318636,1.467
318816,316451,1.467
318816,318636,1.467
318649,318800,1.399
318649,318801,1.399
318650,318800,1.399
318650,318801,1.399
318800,318832,0.32
318800,318844,0.32
318801,318832,0.32
318801,318844,0.32
318772,318815,0.707
318772,318816,0.707
318773,318815,0.707
318773,318816,0.707
318832,318764,0.302
318832,318775,0.302
318844,318764,0.302
318844,318775,0.302
318787,318772,0.448
318787,318773,0.448
318788,318772,0.448
318788,318773,0.448
318179,318753,1.742
318753,317752,5.762
317166,317157,0.226
317157,314217,2.283
314217,318787,3.717
314217,318788,3.717
318764,317752,6.794
318775,317752,6.794
314217,318180,4.577
318180,318401,5.767
318401,318421,0.314
318421,317081,3.665
314994,315042,0.922
315060,312132,2.068
317815,315060,0.883
314652,317815,0.859
314877,314652,4.511
318599,314877,2.155
318443,318599,2.122
318626,318443,1.042
318680,318626,1.971
318674,318484,0.675
315030,318674,1.744
315042,315030,1.25
312326,314994,3.004
318484,318680,4.066
